Gestion;2015;;;;;;;;
Type Budget;Budgets annexes;;;;;;;;
;;;;;;Données;;;
Mission;Programme;Action;Libellé action;Sous-action;Libellé SSA;AELF 2014;AEPLF; CPLF 2014; CPPLF
Contrôle et exploitation aériens;612;1;Management et gestion;0;;15 734 316;11 081 215;15 235 880;11 204 015
Contrôle et exploitation aériens;612;2;Aéroports;0;;120 581 325;105 967 000;117 961 625;109 492 000
Contrôle et exploitation aériens;612;3;Centres en route;0;;359 807 675;383 750 444;358 085 811;366 621 074
Contrôle et exploitation aériens;612;4;Exploitation du contrôle aérien outre-mer;0;;13 930 000;10 311 000;15 800 000;12 864 700
Contrôle et exploitation aériens;612;5;Ingénierie technique de la navigation aérienne;0;;28 966 000;40 173 300;29 936 000;34 117 300
Contrôle et exploitation aériens;612;6;Maintien des compétences de la navigation aérienne;0;;14 584 829;13 574 000;16 584 829;13 573 000
Contrôle et exploitation aériens;613;1;Ressources humaines et management;0;;1 151 196 286;1 157 176 220;1 151 196 286;1 157 176 220
Contrôle et exploitation aériens;613;2;Logistique;0;;44 557 416;41 334 281;43 894 416;41 334 281
Contrôle et exploitation aériens;613;3;Affaires financières;0;;430 450 015;430 569 042;430 450 015;430 569 042
Contrôle et exploitation aériens;613;4;Formation aéronautique;0;;96 891 127;94 953 304;96 891 127;94 953 304
Contrôle et exploitation aériens;614;1;Développement durable et régulation;0;;16 014 551;17 126 056;16 677 551;17 126 056
Contrôle et exploitation aériens;614;2;Surveillance et certification;0;;24 818 797;24 889 861;24 818 797;24 889 861
Contrôle et exploitation aériens;614;4;Enquêtes de sécurité aérienne;0;;3 043 091;2 953 213;3 043 091;2 953 213
Publications officielles et information administrative;623;1;Diffusion légale;0;;28 435 945;8 795 000;28 414 575;8 795 000
Publications officielles et information administrative;623;2;Information administrative, édition publique et promotion;0;;49 664 055;68 194 354;39 485 425;54 923 015
Publications officielles et information administrative;624;1;Pilotage, modernisation et activités numériques;0;;53 210 812;6 613 879;50 957 782;7 905 658
Publications officielles et information administrative;624;2;Promotion et distribution des publications;0;;4 400 000;0;4 400 000;0
Publications officielles et information administrative;624;3;Dépenses de personnel;0;;79 315 487;74 771 956;79 315 487;74 771 956
Publications officielles et information administrative;624;4;Convention Etat - Société anonyme de composition et d'impression des journaux officiels;0;;0;42 734 000;0;42 734 000
